week,index_level,max_52,ML,CCt
350,3434.39,3635.15,0.944772567844518,0
351,3312.42,3635.15,0.9112196195480241,0
352,3469.83,3635.15,0.9545218216579783,0
353,3522.32,3635.15,0.968961390864201,0
354,3572.84,3635.15,0.9828590292009959,0
355,3478.52,3635.15,0.9569123695033217,0
356,3617.66,3635.15,0.995188644210005,0
357,3892.57,3635.15,1.070814134217295,0
358,3971.7,3892.57,1.020328471934994,0
359,4170.54,3971.7,1.0500642042450337,0
360,4344.42,4170.54,1.0416924427052612,0
361,4596.14,4344.42,1.0579409909723279,0
362,4702.64,4596.14,1.0231716179228658,0
363,4749.89,4702.64,1.010047547760407,0
364,4558.4,4749.89,0.9596853821877979,0
365,4617.47,4749.89,0.9721214596548552,0
366,4951.34,4749.89,1.0424115084770385,0
367,4840.83,4951.34,0.9776807894428579,0
368,5230.55,4951.34,1.056390795219072,0
369,5335.12,5230.55,1.0199921614361778,0
370,4637.05,5335.12,0.8691557078378743,0
371,4336.2,5335.12,0.8127652236500772,1
372,3885.92,5335.12,0.728365997390874,1
373,4106.56,5335.12,0.7697221430820675,1
374,4151.5,5335.12,0.7781455712336367,1
375,4176.28,5335.12,0.7827902652611375,1
376,3816.7,5335.12,0.7153915938160716,1
377,3906.95,5335.12,0.732307801886368,1
378,4073.54,5335.12,0.7635329664562371,0
379,3589.54,5335.12,0.6728133575252291,1
380,3342.29,5335.12,0.6264695077149155,1
381,3365.83,5335.12,0.6308817796038327,1
382,3347.19,5335.12,0.6273879500367378,1
383,3251.27,5335.12,0.609408972994047,1
384,3231.95,5335.12,0.6057876861251481,0
385,3202.95,5335.12,0.6003520070776289,0
386,3340.12,5335.12,0.6260627689723942,0
387,3534.07,5335.12,0.6624162155677848,0
388,3571.24,5335.12,0.669383256609036,0
389,3534.08,5335.12,0.6624180899398702,0
390,3793.37,5335.12,0.7110186837409468,0
391,3746.24,5335.12,0.7021847681026856,0
392,3774.38,5335.12,0.7074592511508645,0
393,3556.99,5335.12,0.6667122763874102,0
394,3677.59,5335.12,0.6893172037367482,0
395,3608.06,5335.12,0.6762846946272999,0
396,3767.91,5335.12,0.706246532411642,0
397,3838.2,5335.12,0.7194214937995771,0
398,3731.0,5335.12,0.6993282250446101,0
399,3361.56,5335.12,0.6300814227233876,0
400,3118.73,5335.12,0.5845660453747995,0
401,3113.46,5335.12,0.5835782512858193,0
402,2946.09,5335.12,0.5522068856932928,0
403,2963.79,5335.12,0.5555245242843647,0
404,3051.59,5335.12,0.5719815111937502,0
405,2948.03,5335.12,0.5525705138778509,0
