week,index_level,max_52,ML,mean_52,std_52,mean-2.5*std,CC
272,2247.26,2771.73,0.8107788276635892,0.8630417084713786,0.06815474897159353,0.7608095850139883,0
273,2286.01,2771.73,0.8247592658736602,0.863892205256601,0.06719627135698122,0.7630977982211292,0
274,2304.14,2771.73,0.8313003070284624,0.8653148713642883,0.06551667865710388,0.7670398533786325,0
275,2286.93,2771.73,0.8250911885356799,0.866547707025423,0.06422451739559444,0.7702109309320314,0
276,2313.91,2771.73,0.8348251813849111,0.8668873229718254,0.06395189666736543,0.7709594779707772,0
277,2357.78,2771.73,0.8506528413662227,0.8676067253183285,0.06336278050715012,0.7725625545576034,0
278,2488.9,2771.73,0.8979590364140808,0.8688810634643266,0.0623139504217336,0.7754101378317262,0
279,2432.51,2771.73,0.8776143419452833,0.871534501007745,0.06049703931352582,0.7807889420374563,0
280,2394.97,2771.73,0.8640704541928687,0.873052246335165,0.05961733684001605,0.7836262410751409,0
281,2409.04,2771.73,0.8691467062087577,0.8737873889686365,0.05925839561773613,0.7848997955420323,0
282,2468.51,2771.73,0.890602620024317,0.8752002144168115,0.05822646320457951,0.7878605196099422,0
283,2426.05,2771.73,0.8752836676011012,0.8763712333855497,0.05790507888607136,0.7895136150564426,0
284,2368.56,2771.73,0.8545421090798887,0.8771681942896483,0.0575926023661819,0.7907792907403755,0
285,2384.96,2771.73,0.860458991315893,0.8773718665157177,0.05749146757676751,0.7911346651505665,0
286,2307.95,2771.73,0.8326748997918267,0.8782777116762737,0.056830317409011046,0.793032235562757,0
287,2350.73,2771.73,0.8481093035757451,0.8782396867957787,0.05686073272949424,0.7929485877015373,0
288,2397.96,2771.73,0.8651492028444329,0.8789566758905667,0.056225521876351256,0.7946183930760398,0
289,2438.94,2771.73,0.8799341927243995,0.8804444545452743,0.054770464533290826,0.798288757745338,0
290,2452.29,2771.73,0.8847506791787079,0.8818402032764998,0.053787330111674546,0.801159208108988,0
291,2406.64,2771.73,0.8682808210034887,0.8837040040063939,0.052119284394615426,0.8055250774144708,0
292,2278.14,2771.73,0.8219198839713825,0.8844927164632923,0.0515557739155974,0.8071590555898962,0
293,2303.48,2771.73,0.8310621885970134,0.8836172796766906,0.05223301667066549,0.8052677546706923,0
294,2290.78,2771.73,0.8264802127191322,0.882803442149931,0.05272301273099502,0.8037189230534385,0
295,2204.85,2771.73,0.7954779145154831,0.8811364026531681,0.05311316361989968,0.8014666572233186,1
296,2178.49,2771.73,0.7859676086776128,0.878559058112585,0.05396519401272625,0.7976112670934956,1
297,2245.68,2771.73,0.8102087865701204,0.8760904129380459,0.05521802697135055,0.7932633724810201,0
298,2202.45,2771.73,0.7946120293102141,0.8732934008297027,0.05479084338253813,0.7911071357558955,0
299,2212.48,2771.73,0.7982307078972338,0.8703647631517254,0.05484926125768773,0.7880908712651938,0
300,2295.58,2771.73,0.8282119831296699,0.8662902856269733,0.05206399527380204,0.7881942927162703,0
301,2264.29,2668.84,0.8484172899087243,0.8627875148234276,0.04816243739865881,0.7905438587254394,0
302,2178.97,2668.84,0.8164483445991516,0.8610875466485853,0.047045390180486715,0.7905194613778552,0
303,2168.36,2618.31,0.8281525105888914,0.8582715767432015,0.04517841865885694,0.7905039487549161,0
304,2122.84,2618.31,0.8107672506311324,0.8561102298460994,0.04383375378334786,0.7903595991710777,0
305,2158.8,2618.31,0.8245013004571652,0.85407982556091,0.04343222988050613,0.7889314807401508,0
306,2151.97,2606.43,0.8256389007186075,0.8517693065648325,0.041680137985568196,0.7892490995864803,0
307,2185.47,2606.43,0.8384917300675636,0.8503356567552356,0.041262053990005806,0.7884425757702269,0
308,2270.67,2606.43,0.8711801199341629,0.8492291739877401,0.04078137801043915,0.7880571069720814,0
309,2224.48,2606.43,0.8534585620945124,0.8489000687401227,0.040528214207722575,0.7881077474285388,0
310,2167.83,2606.43,0.8317238521656058,0.8477325578375609,0.03947180499612554,0.7885248503433725,0
311,2158.66,2606.43,0.8282056299229213,0.8467473633142498,0.039213956151744105,0.7879264290866337,0
312,2133.91,2606.43,0.818709882866603,0.8453781295381929,0.03857710611327345,0.7875124703682828,0
313,2145.95,2606.43,0.8233292281012726,0.843493738143356,0.03740028268535699,0.7873933141153205,0
314,2148.41,2606.43,0.8242730478086885,0.8413428759728897,0.035174244544938504,0.788581509155482,0
315,2156.46,2606.43,0.8273615635179153,0.8391742243948468,0.03253562800697479,0.7903707823843846,0
316,2134.72,2488.9,0.8576961709992365,0.8370011360685164,0.029252753403725164,0.7931220059629287,0
317,2176.24,2488.9,0.8743782393828597,0.8362597371813156,0.02819098211052775,0.793973264015524,0
318,2136.73,2488.9,0.8585037566796576,0.8363067114359718,0.02825355952931279,0.7939263721420026,0
319,2150.26,2488.9,0.8639398931254771,0.8367379237772626,0.028420661353641706,0.7941069317468001,0
320,2178.7,2488.9,0.8753666278275543,0.8380837100383054,0.028009160171554064,0.7960699697809743,0
321,2148.01,2488.9,0.8630358793041103,0.8394673914279935,0.02804013857428804,0.7974071835665615,0
322,2164.14,2488.9,0.8695166539435091,0.8402773024121049,0.0281020880438098,0.7981241703463902,0
323,2260.45,2488.9,0.9082124633372172,0.8418008260100778,0.0274797424065332,0.800581212400278,0
324,2329.4,2488.9,0.9359154646631042,0.8438358625216098,0.02840668722385584,0.8012258316858261,0
325,2331.13,2488.9,0.9366105508457552,0.846242336310062,0.030754780075066084,0.8001101661974628,0
326,2360.64,2488.9,0.9484671943428823,0.8483933225595254,0.03304868146572883,0.7988203003609321,0
327,2365.36,2488.9,0.9503636144481498,0.8506465319309566,0.03574462520491495,0.7970295941235842,0
328,2338.29,2488.9,0.9394873237173048,0.8530556170446579,0.03813037974034771,0.7958600474341364,0
329,2449.26,2488.9,0.9840732853871189,0.85506835055105,0.03987176821978329,0.7952606982213751,0
330,2438.36,2488.9,0.9796938406524971,0.8576341283206828,0.043691903102132265,0.7920962736674844,0
331,2425.21,2468.51,0.982459054247299,0.8592059514791136,0.0465479101139141,0.7893840863082424,0
332,2437.2,2468.51,0.9873162352998366,0.8612221959464601,0.049535721051747736,0.7869186143688385,0
333,2450.99,2468.51,0.9929026011642649,0.8635923071215941,0.05253246589962669,0.784793608272154,0
334,2466.79,2468.51,0.9993032234019711,0.8659722281784309,0.055508068691723124,0.7827101251408461,0
335,2441.73,2466.79,0.9898410484881162,0.8680626243972319,0.05842402489620196,0.780426587052929,0
336,2390.71,2466.79,0.9691582988418147,0.8702656509527515,0.06081266139700979,0.7790466588572369,0
337,2508.33,2466.79,1.0168396985556127,0.8724698084481732,0.062290757662609275,0.7790336719542593,0
338,2502.15,2508.33,0.9975362093504444,0.8754771297412448,0.06539700499978232,0.7773816222415714,0
339,2581.09,2508.33,1.0290073475180699,0.8786475395404489,0.06725119599856198,0.777770745542606,0
340,2583.46,2581.09,1.0009182167223925,0.8821263480778013,0.07025235602282717,0.7767478140435605,0
341,2808.82,2583.46,1.0872318518575863,0.8847372906523774,0.07210747280653683,0.7765760814425722,0
342,3124.89,2808.82,1.1125276806630542,0.8887237840972464,0.07737462422481922,0.7726618477600176,0
343,3193.23,3124.89,1.0218695698088573,0.8931041110488684,0.08336114637672314,0.7680623914837837,0
344,3383.17,3193.23,1.0594820918004655,0.8960577408335872,0.0851657922128361,0.7683090525143331,0
345,3445.84,3383.17,1.0185240469736963,0.9006262448303004,0.08745190421565267,0.7694483885068214,0
346,3533.71,3445.84,1.025500313421401,0.9042312805683135,0.08838691015562461,0.7716509153348765,0
347,3546.72,3533.71,1.003681682990398,0.9080585901972035,0.08925879738697876,0.7741703941167353,0
348,3635.15,3546.72,1.0249328957459287,0.9120625088217211,0.08877814547925764,0.7788952906028347,0
349,3571.73,3635.15,0.9825536772897955,0.9166579951114961,0.08830663527943813,0.7841980421923389,0
350,3434.39,3635.15,0.944772567844518,0.9199723199330283,0.08746324197488738,0.7887774569706972,0
351,3312.42,3635.15,0.9112196195480241,0.9228600225971495,0.08570434637649184,0.7943035030324117,0
352,3469.83,3635.15,0.9545218216579783,0.9250328862827417,0.0838958864326682,0.7991890566337394,0
353,3522.32,3635.15,0.968961390864201,0.9274619216390553,0.0828597926023153,0.8031722327355824,0
354,3572.84,3635.15,0.9828590292009959,0.9297800774266606,0.08228926964931811,0.8063461729526834,0
355,3478.52,3635.15,0.9569123695033217,0.932980282899773,0.08102147669072818,0.8114480678636807,0
356,3617.66,3635.15,0.995188644210005,0.9354564340327429,0.07971192225063586,0.8158885506567891,0
357,3892.57,3635.15,1.070814134217295,0.9390029992938751,0.07814265486299388,0.8217890169993842,0
358,3971.7,3892.57,1.020328471934994,0.943739784558493,0.0785302246312985,0.8259444476115452,0
359,4170.54,3971.7,1.0500642042450337,0.9474838147741926,0.07742243301672969,0.8313501652490981,0
360,4344.42,4170.54,1.0416924427052612,0.9515525162006824,0.07714113960450018,0.8358408067939321,0
361,4596.14,4344.42,1.0579409909723279,0.9548315993308959,0.07728161978434135,0.8389091696543839,0
362,4702.64,4596.14,1.0231716179228658,0.9587639537323921,0.07722463326999894,0.8429270038273937,0
363,4749.89,4702.64,1.010047547760407,0.9624456415354162,0.07559569342234265,0.8490521014019022,0
364,4558.4,4749.89,0.9596853821877979,0.9659426014938295,0.07343929317942052,0.8557836617246987,0
365,4617.47,4749.89,0.9721214596548552,0.9686536687884678,0.07043830622982569,0.8629962094437292,0
366,4951.34,4749.89,1.0424115084770385,0.9715150578568059,0.06737463074342953,0.8704531117416616,0
367,4840.83,4951.34,0.9776807894428579,0.9757100282542743,0.06476766880754738,0.8785585250429533,0
368,5230.55,4951.34,1.056390795219072,0.9786007825989848,0.061277171326647846,0.886685025609013,0
