week,index_level,diff,is_rising,pli,date
240,3193.227,10.21499999999969,1,0.6,240
241,3383.167,37.23999999999978,1,0.8,241
242,3445.839,110.42000000000007,1,0.6,242
243,3533.705,76.15099999999984,1,1.0,243
244,3546.723,-12.536000000000058,0,0.4,244
245,3635.146,31.02500000000009,1,0.6,245
246,3571.732,4.119000000000142,1,0.8,246
247,3434.39,-47.4079999999999,0,0.2,247
248,3312.42,-54.52599999999984,0,0.2,248
249,3469.828,26.95400000000018,1,1.0,249
250,3522.322,22.838999999999942,1,1.0,250
251,3572.843,6.5479999999997744,1,0.6666666666666666,251
252,3478.52,-17.82400000000007,0,0.4,252
253,3617.657,24.813000000000102,1,0.8,253
254,3892.574,52.835000000000036,1,0.8,254
255,3971.697,21.69800000000032,1,0.8,255
256,4170.538,45.761999999999716,1,0.8,256
257,4344.416,82.27800000000025,1,0.75,257
258,4596.136,82.59000000000015,1,0.8,258
259,4702.641,-38.251000000000204,0,0.6,259
260,4749.886,-24.4399999999996,0,0.5,260
261,4558.404,88.31500000000051,1,0.4,261
262,4617.47,-83.30799999999999,0,0.4,262
263,4951.335,110.35900000000038,1,0.8,263
264,4840.829,6.822000000000116,1,0.6,264
265,5230.552,49.13599999999951,1,0.8,265
266,5335.115,28.524999999999636,1,0.4,266
267,4637.052,-293.4970000000003,0,0.2,267
268,4336.195,-370.3209999999999,0,0.5,268
269,3885.917,-222.07900000000018,0,0.2,269
270,4106.556,208.92999999999938,1,0.6,270
271,4151.496,154.13999999999987,1,0.6,271
272,4176.279,-74.52599999999984,0,0.6,272
273,3816.699,1.287000000000262,1,0.4,273
274,3906.945,75.0930000000003,1,0.6,274
275,4073.54,-1.9230000000002292,0,0.4,275
276,3589.536,-171.91800000000012,0,0.4,276
277,3342.286,136.64800000000014,1,0.4,277
278,3365.832,3.7489999999997963,1,0.6666666666666666,278
279,3347.188,-10.373000000000047,0,0.4,279
280,3251.273,14.274000000000342,1,0.4,280
281,3231.951,-53.047999999999774,0,0.6,281
282,3202.948,24.09400000000005,1,0.6666666666666666,282
283,3340.1159,43.63389999999981,1,1.0,283
284,3534.0653,47.25030000000015,1,0.6,284
285,3571.2411,46.707200000000284,1,0.8,285
286,3534.0788,0.7722999999996318,1,0.8,286
287,3793.3739,87.40419999999995,1,0.6,287
288,3746.2422,-49.08189999999968,0,0.4,288
289,3774.3833,-0.5859000000000378,0,0.4,289
290,3556.9924,-202.4362000000001,0,0.4,290
291,3677.5922,-71.70629999999983,0,0.8,291
292,3608.0587,-15.025499999999738,0,0.4,292
293,3767.9128,12.024699999999939,1,0.6,293
294,3838.201,8.798800000000028,1,0.6,294
295,3731.0047,-34.170500000000175,0,0.5,295
296,3361.5632,67.17930000000024,1,0.6,296
297,3118.7301,-102.84129999999959,0,0.4,297
298,3113.4626,32.117199999999684,1,0.6,298
299,2946.0902,92.33400000000029,1,0.4,299
300,2963.7894,-20.9703999999997,0,0.4,300
301,3051.585,-2.113499999999931,0,0.4,301
302,2948.0306,29.280499999999847,1,0.6,302
303,3093.8895,35.4676000000004,1,0.8,303
304,3018.2844,5.138699999999972,1,0.6,304
305,3171.963,47.75910000000022,1,1.0,305
306,3197.8169,15.966199999999844,1,0.6,306
307,3221.8948,3.8069000000000415,1,0.6,307
308,3185.7258,-23.56439999999975,0,0.25,308
309,3272.2053,-3.626800000000003,0,0.6,309
310,3174.9012,14.297899999999572,1,0.4,310
311,3156.7451,-3.8357999999998356,0,0.2,311
312,3130.3544,-83.5654999999997,0,0.5,312
313,3074.9351,-15.202099999999973,0,0.6,313
314,3078.2183,15.71810000000005,1,0.4,314
315,3062.4993,-1.7118000000000393,0,0.4,315
316,3189.3255,22.22579999999971,1,0.8,316
317,3163.9864,-13.067200000000412,0,0.0,317
318,3110.3572,15.682400000000143,1,0.6,318
319,3077.1554,-40.16139999999996,0,0.4,319
